YAL007C	YAR002C-A	YGL200C
YAL027W	YML095C	YPL022W	
YBL002W	YLR133W	YDR224C	
YBL008W	YBR215W	YJL115W	
YBL021C	YOR358W	YGL237C	
YBL038W	YKR006C	YML025C	
YBL052C	YPR031W	YJR082C	
YBR010W	YGR081C	YMR308C	
YBR123C	YDR362C	YPL007C	
YBR152W	YDL098C	YGR075C	
YBR154C	YFL023W	YLR200W	
YBR173C	YER012W	YGL096W	
YBR195C	YML102W	YPR018W	
YBR215W	YJL115W	YOR038C	
YBR225W	YGL197W	YLR310C	
YMR044W	YBR245C	YLR095C	
YCL016C	YHR191C	YMR078C	
YCL032W	YPR175W	YBR185C	
YCR003W	YDR322W	YNL005C	
YCR020C-A	YEL053C	YPR051W	
YCR020W-B	YDR520C	YPR034W	
YCR065W	YJR102C	YPL002C	
YCR071C	YDR405W	YLR439W	
YPR103W	YER094C	YCR076C	
YDL126C	YCR084C	YKL213C	
YDL007W	YHR200W	YDL036C	
YDL043C	YGL174W	YMR240C	
YBR095C	YOL004W	YDL076C	
YHR165C	YDL085C-A	YER172C	
YDL092W	YKL122C	YPR088C	
YFR052W	YDL097C	YPL082C	
YDL100C	YER083C	YGL020C	
YDL145C	YPL031C	YPL219W	
YDL145C	YHR066W	YPR143W	
YGR275W	YLR357W	YDL179W	
YDL208W	YHR072W-A	YGL078C	
YKR025W	YNL151C	YDR005C	
YIL148W	YDR054C	YBR026C	
YDR091C	YJR067C	YNL260C	
YDR092W	YGL087C	YMR140W	
YMR308C	YDR101C	YJL122W	
YJL050W	YDR148C	YIL125W	
YIL071C	YDR179C	YMR025W	
YOR115C	YDR472W	YDR246W	
YDR279W	YLR154C	YNL072W	
YDR289C	YGL246C	YOR048C	
YDR310C	YOR279C	YOL068C	
YDR318W	YPR046W	YGR006W	
YDR322W	YNL005C	YDR237W	
YDR365C	YHR065C	YNR054C	
YDR388W	YPL249C	YMR192W	
YEL005C	YLR408C	YNL086W	
YIL093C	YER050C	YNL081C	
YER133W	YKL193C	YFR003C	
YGL011C	YGR135W	YKR070W	
YGL120C	YGL128C	YLR424W	
YGR103W	YMR049C	YOR272W	
YGR119C	YGL172W	YJL041W	
YNL189W	YGR202C	YOR098C	
YGR206W	YCL008C	YLR119W	
YGR261C	YJL024C	YPL195W	
YDR347W	YHL004W	YJR060W	
YHR062C	YNL221C	YNL282W	
YER110C	YHR066W	YNL122C	
YHR197W	YHR085W	YNL182C	
YHR089C	YGR283C	YMR310C	
YHR114W	YBR136W	YOR181W	
YIL035C	YKL088W	YOR054C	
YDR388W	YLR429W	YIL039W	
YJL050W	YOL115W	YIL079C	
YIL103W	YKL191W	YER001W	
YMR117C	YIL144W	YOL069W	
YDR174W	YIL036W	YIL150C	
YJL006C	YKL139W	YML112W	
YJL072C	YDR489W	YOL146W	
YDR388W	YLL022C	YJL102W	
YJL154C	YOR069W	YPL070W	
YJL176C	YOR290C	YFL049W	
YML036W	YJL184W	YKR038C	
YDL140C	YOR151C	YJR017C	
YKL135C	YFL034W	YLR170C	
YHR012W	YJL154C	YKL195W	
YLL022C	YPL001W	YJR154W	
YLR028C	YMR120C	YNR034W	
YDL014W	YOL144W	YLR221C	
