YAL007C	YAR002C-A	YGL200C
YAL016W	YDL134C	YHR132W-A	
YBL002W	YLR133W	YDR224C	
YBL021C	YOR358W	YGL237C	
YBR127C	YDR202C	YJR033C	
YBR173C	YER012W	YGL096W	
YMR078C	YCL016C	YHR191C	
YCR020C-A	YEL053C	YPR051W	
YCR020W-B	YDR520C	YPR034W	
YCR071C	YDR405W	YLR439W	
YDL043C	YGL174W	YMR240C	
YLR147C	YDL043C	YKL095W	
YDL043C	YDR482C	YLR016C	
YDL060W	YJL093C	YLR435W	
YHR165C	YDL085C-A	YER172C	
YIL075C	YDL097C	YOR367W	
YDL145C	YPL031C	YPL219W	
YGR275W	YLR357W	YDL179W	
YDL182W	YBL010C	YNL317W	
YDR054C	YJL047C	YBL088C	
YIL148W	YDR054C	YBR026C	
YDR091C	YJR067C	YNL260C	
YNL201C	YDR225W	YDR173C	
YOR115C	YDR472W	YDR246W	
YDR279W	YLR154C	YNL072W	
YOR048C	YDR289C	YGL246C	
YDR299W	YER127W	YGR145W	
YDR318W	YPR046W	YGR006W	
YDR334W	YER178W	YNL071W	
YDR357C	YKL061W	YEL005C	
YMR125W	YDR364C	YPL178W	
YLR429W	YDR386W	YBR098W	
YML025C	YDR405W	YKL167C	
YEL005C	YLR408C	YNL086W	
YNL137C	YER050C	YPL013C	
YER151C	YMR118C	YMR173W	
YER133W	YKL193C	YFR003C	
YBR109C	YOL016C	YFR014C	
YGL011C	YGR135W	YKR070W	
YGL105W	YGR128C	YDR270W	
YLR424W	YGL120C	YGL128C	
YGL240W	YKL022C	YIR025W	
YGR094W	YFL022C	YLR060W	
YJL041W	YGR119C	YGL172W	
YOL139C	YGR162W	YOR276W	
YDR385W	YOR133W	YGR187C	
YCL008C	YGR206W	YLR119W	
YER110C	YHR066W	YNL122C	
YHR197W	YHR085W	YNL182C	
YHR089C	YGR283C	YMR310C	
YNL248C	YHR143W-A	YIR024C	
YJL087C	YIL021W	YLR134W	
YDR388W	YLR429W	YIL039W	
YJL050W	YOL115W	YIL079C	
YML112W	YJL006C	YKL139W	
YJL072C	YOL146W	YDR489W	
YDR388W	YLL022C	YJL102W	
YLR429W	YJL138C	YER036C	
YNL312W	YJL173C	YER104W	
YDL102W	YJR006W	YJR043C	
YHR012W	YJL154C	YKL195W	
YOR043W	YLL010C	YLR019W	
YLL022C	YPL001W	YJR154W	
YLR079W	YBR160W	YPR119W	
YBL058W	YDL126C	YLR377C	
YLR424W	YPL208W	YJR110W	
YLR347C	YNL189W	YML060W	
YPR105C	YML071C	YGR120C	
YNL246W	YLL002W	YMR020W	
YPR171W	YMR079W	YHR076W	
YDR507C	YKR048C	YMR139W	
YJR009C	YNL045W	YPL003W	
YKR048C	YOL070C	YNL078W	
YOR007C	YOL111C	YBR137W	
YDR429C	YMR146C	YPL105C	
YDL147W	YDR427W	YPR040W	
YAL034W-A	YIR010W	YPL233W	YJR112W	
YBL002W	YJL042W	YDR225W	
YBL036C	YNL247W	YGR185C	
YMR044W	YLR095C	YBR245C	
YBR079C	YGR258C	YDL019C	
YBR009C	YDR306C	YJL047C	
YDR054C	YDR306C	YJL047C	
YBR010W	YGR081C	YMR308C	
YBL003C	YBR010W	YMR284W	YMR106C	
YLR347C	YBR057C	YDL076C	
YIL148W	YBR058C	YDR177W	
YOR217W	YBR087W	YJR068W	
YBR087W	YJR068W	YOR144C	
YPL070W	YOR069W	YJL154C	
YBR159W	YAL023C	YCR043C	
YLR310C	YBR225W	YGL197W	
YBR234C	YJR065C	YKL013C	YLR370C	
YDR174W	YIL036W	YIL150C	
YDR174W	YBR247C	YIL150C	
YBR253W	YER022W	YOL051W	YHR202W	
YBR288C	YGR261C	YJL024C	
YCR065W	YJR102C	YPL002C	
YCR071C	YDR405W	YGR076C	
YPR103W	YER094C	YOR157C	YCR076C	
YDL126C	YCR084C	YKL213C	
YDL014W	YDR117C	YPR161C	
YDR293C	YKR028W	YPR161C	
YDL092W	YKL122C	YPR088C	
YDL147W	YFR052W	YDL097C	YAL042W	
YER021W	YFR052W	YDL097C	YGL095C	
YDL147W	YDL097C	YIL099W	
YKL104C	YDL097C	YJR099W	
YDL100C	YER083C	YGL020C	
YDL134C	YKR081C	YKL203C	
YDL182W	YAL031C	YNL317W	
YGL078C	YDL208W	YDL213C	
YPR187W	YNL151C	YDR005C	
YKR025W	YNL151C	YDR005C	
YDR022C	YLR423C	YPL166W	
YLR423C	YPL166W	YPR049C	
YFL049W	YOR290C	YJL176C	
YDR148C	YJL050W	YIL125W	
YNL097C	YOR244W	YDR198C	
YDR322W	YNL005C	YDR237W	YNL252C	
YDR365C	YHR065C	YNR054C	
YKL191W	YDR385W	YCL050C	
YPL022W	YDR385W	YCL050C	
YIL093C	YNL081C	YER050C	
YBR251W	YDR175C	YJR096W	
YLR222C	YLR409C	YJL147C	
YKL061W	YEL005C	YGL079W	YLR408C	
YEL037C	YHR027C	YHR184W	
YER021W	YHR027C	YGL027C	
YJR113C	YER050C	YMR158W	
YER151C	YDL004W	YMR173W	
YER151C	YLR295C	YMR173W	
YKL173W	YLR275W	YFL018W-A	YJL035C	
YBL058W	YDL126C	YFL044C	
YFR004W	YPR108W	YJR051W	
YFR015C	YKR058W	YLR258W	
YDR099W	YER177W	YFR017C	
YFR037C	YML127W	YBL006C	
YFR037C	YGR056W	YBL006C	
YFR037C	YML127W	YPR034W	YOR156C	
YNL041C	YGL005C	YGL223C	
YGL005C	YGL223C	YNL051W	
YCR009C	YDR388W	YGL175C	
YDL053C	YGL014W	YGL203C	
YDL053C	YPR067W	YGL203C	
YDR388W	YGR086C	YOR195W	
YOR001W	YGR095C	YER143W	YNR024W	
YGR135W	YOL038W	YFL017C	
YAL016W	YGL190C	YOR162C	
YLR347C	YNL189W	YGR202C	YOR098C	
YGR262C	YJL184W	YKR038C	YML036W	
YNL242W	YFR021W	YHR024C	
YIL035C	YML010W	YBR295W	
YIL035C	YOR061W	YKL088W	YOR054C	
YIL070C	YIL093C	YBL090W	
YIL093C	YJL063C	YBL090W	
YPL004C	YLR319C	YGL131C	
YPL004C	YKL142W	YKL048C	
YJL041W	YIL115C	YKR082W	YJL061W	
YNL135C	YIL161W	YNL023C	
YJR094W-A	YOR193W	YJR010C-A	
YLR270W	YOR173W	YPL245W	
YBR109C	YGL106W	YLR356W	
YAL043C	YGR156W	YLR358C	
YGR156W	YNL222W	YLR358C	
YPL128C	YKL054C	YLR373C	
YBL058W	YDL126C	YML064C	
YBR109C	YGL106W	YOR326W	YMR071C	
YOR290C	YPL016W	YBR289W	
YLL036C	YPL151C	YPR134W	
YLR182W	YER111C	YOR083W	
YOR159C	YLR147C	YOR097C	
YDR099W	YDR490C	YOR267C	
YOR159C	YLR275W	YOR305W	
YLR432W	YML056C	YOR360C	
YLR347C	YNL189W	YPL020C	
YDR087C	YBR139W	YPL091W	
YAL001C	YBR123C	YDR362C	YGR047C	YPL007C	
YAL021C	YDR252W	YHR193C	YGR134W	
YDR252W	YHR193C	YGR134W	YJR011C	
YAL027W	YGR086C	YML095C	
YAL027W	YML095C	YPL022W	
YIL148W	YDL022W	YDL095W	
YAR007C	YDR495C	YDR172W	
YOR361C	YDR022C	YLR423C	
YBL023C	YER069W	YPR046W	
YBL038W	YKR006C	YML025C	
YBL038W	YKR006C	YCR071C	
YPL167C	YCR002C	YDL225W	
YPL090C	YBL067C	YER030W	
YBR019C	YKL135C	YLR170C	
YDL048C	YMR186W	YOR057W	
YCR028C-A	YLR226W	YPR161C	
YKL182W	YLR231C	YPL231W	
YBR103W	YCR033W	YIL112W	YKR029C	
YCR033W	YIL112W	YKR029C	YOL068C	
YCR009C	YDR388W	YGR086C	YBR108W	
YCR009C	YGR086C	YPL004C	YBR108W	
YNL209W	YBR126C	YMR261C	
YBR126C	YMR261C	YDR074W	YML100W	
YBR152W	YDL098C	YGR075C	
YDL098C	YGR091W	YFL018W-A	
YNL209W	YBR166C	YLR022C	
YBR188C	YJR050W	YDL043C	
YBR188C	YJR050W	YDR416W	
YBR245C	YOR304W	YGL133W	
YOR304W	YGL133W	YJL065C	
YDR093W	YDL147W	YFR010W	
YDR507C	YCR002C	YDL225W	YHR107C	
YCR002C	YHR107C	YDR168W	
YCR009C	YDR388W	YMR192W	YPL249C	
YCR071C	YDR405W	YMR024W	
YLR015W	YPL138C	YLL023C	
YDL043C	YCR063W	YDR482C	
YOR253W	YCL008C	YLR119W	
YPR034W	YDL055C	YLR035C	
YDR381W	YKL014C	YHR066W	
YDR427W	YPR108W	YBR069C	
YGL092W	YDL116W	YJR042W	
YGL092W	YJR042W	YPL169C	
YGL137W	YDL145C	YDR238C	YFR051C	YIL076W	
YGL137W	YDL145C	YDR238C	YIL076W	YPL010W	
YDL145C	YHR066W	YPR143W	
YHR066W	YPR143W	YDR312W	
YDL150W	YOR207C	YDR045C	YJL011C	YOL021C	
YIL033C	YJL164C	YPL203W	
YDL182W	YKL028W	YLR167W	
YDR016C	YBR233W-A	YDR201W	YGL061C	
YBR233W-A	YDR201W	YGL061C	YKR083C	
YLR200W	YJL005W	YLR258W	
YDR156W	YDR092W	YOR335C	
YMR140W	YDR092W	YGL087C	
YDR087C	YDR111C	YER147C	
YLR249W	YMR186W	YDR169C	
YDR381W	YDR170C	YGL099W	
YDR381W	YDR170C	YLR410W	
