YAL032C	YBL104C	YBR065C	YBR152W	YCR063W	YDL030W	YDL209C	YDR364C	YDR416W	YDR473C	YGL128C	YGR091W	YGR278W	YHR156C	YJR050W	YKR022C	YLR117C	YMR213W	YOR308C	
YBR193C	YBR253W	YCR081W	YDR443C	YER022W	YGL025C	YGL151W	YGR104C	YHR041C	YKR095W	YLR071C	YMR112C	YNL025C	YNL236W	YNR010W	YOL051W	YPL042C	YPR070W	YPR168W	
YAL013W	YBR095C	YCR084C	YDL076C	YDR207C	YGL019W	YIL035C	YIL084C	YIL101C	YKL064W	YKL072W	YLR407W	YMR075W	YNL097C	YNL330C	YOL004W	YOR061W	YPL139C	YPL181W	
YAL013W	YBR095C	YCR084C	YDL076C	YDR207C	YGL019W	YIL035C	YIL084C	YIL101C	YKL064W	YKL072W	YMR075W	YMR172W	YMR263W	YNL097C	YNL330C	YOL004W	YPL139C	YPL181W	
YAL013W	YBR095C	YCR084C	YDL076C	YDR207C	YGL019W	YIL035C	YIL084C	YIL101C	YKL064W	YKL072W	YMR075W	YMR172W	YNL097C	YNL330C	YOL004W	YOR061W	YPL139C	YPL181W	
YAL032C	YBL104C	YBR065C	YCR063W	YDL209C	YDR364C	YDR416W	YER013W	YER172C	YGR278W	YHR156C	YHR165C	YJR050W	YKL095W	YLL036C	YMR213W	YMR288W	YPL151C	YPR101W	
YAL013W	YBR095C	YCR084C	YDL076C	YDR207C	YGL019W	YIL035C	YIL084C	YIL101C	YKL064W	YKL072W	YMR263W	YNL097C	YNL330C	YOL004W	YOR061W	YPL139C	YPL181W	YPR023C	
YAL032C	YBL104C	YBR065C	YCR063W	YDL098C	YDR235W	YDR378C	YER013W	YER172C	YGL100W	YGR013W	YHR156C	YHR165C	YIR009W	YLR117C	YLR275W	YMR125W	YPL178W	YPR082C	
YAL013W	YBR095C	YCR084C	YDL076C	YDR207C	YGL019W	YIL035C	YIL084C	YKL064W	YKL072W	YLR103C	YMR075W	YMR172W	YMR263W	YNL097C	YNL330C	YOL004W	YPL139C	YPR023C	
YAL024C	YBR225W	YDL047W	YDL134C	YDL219W	YER155C	YFR040W	YGL190C	YGL197W	YGR161C	YGR281W	YJL098W	YKR028W	YLR310C	YML109W	YMR273C	YOR014W	YOR267C	YPL049C	
YAL013W	YBR095C	YCR084C	YDL076C	YDR207C	YIL035C	YIL084C	YIL101C	YKL064W	YKL072W	YLR407W	YMR075W	YMR263W	YNL097C	YNL330C	YOL004W	YOR061W	YPL139C	YPL181W	
YAL032C	YBL104C	YBR065C	YCR063W	YDL030W	YDL209C	YDR416W	YER172C	YHR156C	YJR050W	YJR084W	YLR424W	YML049C	YMR213W	YMR288W	YOR308C	YPL151C	YPR082C	YPR101W	
YAL032C	YBL104C	YBR065C	YCR063W	YDL030W	YDL209C	YDR416W	YER172C	YGL100W	YHR156C	YJR050W	YJR084W	YLR424W	YMR213W	YOR308C	YOR349W	YPL151C	YPR082C	YPR101W	
YAL032C	YBL104C	YBR065C	YCR063W	YDL030W	YDL209C	YDR364C	YDR416W	YGL128C	YGR278W	YHR156C	YJL203W	YJR050W	YKR022C	YLR117C	YML049C	YMR213W	YMR288W	YNL286W	
YBL074C	YBL104C	YDL030W	YDL043C	YDL098C	YER029C	YER172C	YGL100W	YIR009W	YJL203W	YJR084W	YLR117C	YLR147C	YMR240C	YMR288W	YNL286W	YOR319W	YPL151C	YPL213W	
YBR081C	YCL010C	YDR167W	YDR359C	YDR392W	YDR448W	YGL066W	YGR252W	YHR099W	YLR055C	YML007W	YML015C	YMR223W	YMR236W	YNL107W	YOL148C	YOR244W	YPL254W	YPR023C	
YBR193C	YBR253W	YDR443C	YER022W	YFR019W	YGL025C	YGL151W	YGR104C	YHR041C	YKR095W	YLR071C	YML007W	YMR112C	YNL025C	YNL236W	YNR010W	YOL135C	YOR174W	YPL042C	
YBL007C	YBL027W	YBL037W	YCR030C	YDL191W	YDR348C	YER147C	YFR024C-A	YGL206C	YGR027C	YGR167W	YHR114W	YJL201W	YLR150W	YLR337C	YNL084C	YOL016C	YOL062C	YOR181W	
YBR253W	YCR081W	YDR308C	YDR443C	YER022W	YGL025C	YGL127C	YGL151W	YGR104C	YGR252W	YKR095W	YML007W	YMR112C	YNL025C	YNR010W	YOL051W	YPL042C	YPR070W	YPR168W	
YBL007C	YBL027W	YBL037W	YCR030C	YDL191W	YDR348C	YFR024C-A	YGR027C	YGR167W	YHR114W	YJL201W	YJR005W	YLR150W	YLR337C	YLR432W	YML001W	YNL084C	YOL016C	YOR181W	
YBL007C	YBL027W	YBL037W	YCR030C	YDL191W	YFR024C-A	YGL206C	YGR027C	YGR167W	YHR114W	YJL201W	YLR150W	YLR337C	YML001W	YNL084C	YNL168C	YOL016C	YOL062C	YOR181W	
YBL007C	YBL027W	YBL037W	YCR030C	YDL191W	YFR024C-A	YGR027C	YGR167W	YHR114W	YJL201W	YJR005W	YKL125W	YLR150W	YLR337C	YLR432W	YML001W	YNL084C	YOL016C	YOR181W	
YBR114W	YBR136W	YCR028C-A	YDL156W	YDL225W	YDR097C	YDR499W	YHR146W	YLR142W	YLR386W	YML032C	YMR196W	YMR234W	YMR315W	YNL233W	YOL090W	YOR332W	YPL154C	YPR065W	
YBL036C	YBL039C	YBR263W	YDR457W	YFL026W	YFR044C	YGL238W	YGR204W	YHL011C	YJL052W	YKL029C	YKL067W	YKL181W	YLL040C	YMR012W	YMR078C	YNR016C	YPL009C	YPL218W	
YAL032C	YBL074C	YBL104C	YBR065C	YBR152W	YCR063W	YDL030W	YDR364C	YER029C	YGL128C	YGR278W	YIR009W	YJR050W	YJR084W	YLR424W	YMR213W	YOR319W	YPR101W	YPR182W	
YBR253W	YCR081W	YDR443C	YER022W	YER165W	YGL025C	YGL127C	YGL151W	YGR104C	YHR041C	YML007W	YNL025C	YNL236W	YNR010W	YOL051W	YOL135C	YOR174W	YPL042C	YPR070W	
YBL007C	YBL027W	YCR030C	YDL191W	YDR348C	YFR024C-A	YGL206C	YGR027C	YGR167W	YHR114W	YIR006C	YJL201W	YLR150W	YLR337C	YML001W	YNL084C	YNL168C	YOL016C	YOR181W	
YBR126C	YBR272C	YDL058W	YDL070W	YDL167C	YDR300C	YFR006W	YGL190C	YGR170W	YGR250C	YIR001C	YJR132W	YJR138W	YLR325C	YML117W	YMR176W	YNL076W	YOL054W	YPL001W	
YAL013W	YBR095C	YCR084C	YDL076C	YDR207C	YEL018W	YFR013W	YIL084C	YIL101C	YKL072W	YMR075W	YMR263W	YNL097C	YNL330C	YOL004W	YOR061W	YPL139C	YPL181W	YPR023C	
YBL039C	YBR154C	YBR236C	YDL117W	YDL140C	YDR404C	YFR009W	YGL070C	YGR005C	YGR063C	YGR186W	YIL021W	YJL140W	YML010W	YOL005C	YOR151C	YOR224C	YPR093C	YPR187W	
YBR049C	YBR245C	YCR052W	YDR073W	YDR303C	YFR037C	YGR056W	YGR275W	YHL025W	YJL176C	YLR321C	YLR357W	YML127W	YMR033W	YMR091C	YNR023W	YOL067C	YOR290C	YPR034W	
YBR048W	YBR101C	YBR247C	YDL060W	YDR064W	YGR054W	YGR081C	YKL143W	YKR057W	YLR264W	YML024W	YML026C	YNL207W	YOR056C	YOR145C	YPL012W	YPL081W	YPL204W	YPL266W	
YBR081C	YBR253W	YCL010C	YDR145W	YDR176W	YDR359C	YDR392W	YDR448W	YGL013C	YGL066W	YGR252W	YLR055C	YML007W	YMR223W	YMR236W	YOL135C	YOL148C	YPL254W	YPR070W	
YAL016W	YAL024C	YBR103W	YCR033W	YDL134C	YDL188C	YDR155C	YGL190C	YGL194C	YGR161C	YGR281W	YIL112W	YKR029C	YML109W	YMR273C	YOL068C	YOR014W	YOR349W	YPR040W	
YAR042W	YBR177C	YDL019C	YDR150W	YDR490C	YER120W	YFL016C	YGL157W	YGR086C	YGR246C	YHL020C	YHR195W	YIL074C	YKL057C	YLR183C	YLR429W	YMR031C	YMR109W	YPL004C	
