YDL082W	YDR418W	YFR031C-A	YGL031C	YGR085C	YJL191W	YLR367W	YML073C	YMR142C	YNL069C	
YDL082W	YFR031C-A	YGL031C	YGR085C	YJL191W	YLR367W	YML073C	YMR142C	YNL069C	YPL143W	
YDL082W	YFR031C-A	YGL031C	YGR085C	YJL191W	YLR367W	YML073C	YMR142C	YNL069C	
YBR263W	YFR031C-A	YGL031C	YGR085C	YJL191W	YLR367W	YML073C	YNL069C	
YCR012W	YDR216W	YEL031W	YGR279C	YMR173W	YNL006W	YNL192W	YOR070C	
YCR012W	YDR216W	YEL031W	YGR279C	YMR173W	YNL192W	YOL147C	YOR070C	
YCR012W	YDR216W	YEL031W	YMR173W	YNL006W	YNL192W	YOL147C	YOR070C	
YFR031C-A	YGL031C	YGR085C	YJL191W	YLR367W	YML073C	YMR142C	YNL069C	
YDL082W	YFR031C-A	YGL031C	YGR085C	YJL191W	YLR367W	YML073C	YNL069C	
YFR031C-A	YGL031C	YGR085C	YJL191W	YML073C	YMR142C	YNL069C	YPL143W	
YFR031C-A	YGR085C	YJL191W	YLR367W	YML073C	YMR142C	YNL069C	
YCR012W	YDR216W	YGR279C	YMR173W	YNL192W	YOL147C	YOR070C	
YDL082W	YFR031C-A	YGL031C	YGR085C	YJL191W	YML073C	YNL069C	
YFR031C-A	YGL031C	YGR085C	YJL191W	YML073C	YMR142C	YNL069C	
YFR031C-A	YGL031C	YGR085C	YJL191W	YLR367W	YML073C	YNL069C	
YFR031C-A	YGL031C	YGR085C	YLR367W	YML073C	YMR142C	
YFR031C-A	YGR085C	YJL191W	YLR367W	YML073C	YNL069C	
YDL082W	YFR031C-A	YGL031C	YGR085C	YLR367W	YNL069C	
YFR031C-A	YGL031C	YGR085C	YJL191W	YML073C	YNL069C	
YDR517W	YGR136W	YJR052W	YNL193W	YOR089C	YOR231W	
YCR012W	YDR216W	YGR279C	YMR173W	YNL192W	YOR070C	
YDR517W	YGR136W	YJR052W	YNL193W	YOR231W	
YFR031C-A	YGL031C	YGR085C	YJL191W	YNL069C	
YDR517W	YGR136W	YJR052W	YNL193W	YOR089C	
YDR517W	YJR052W	YNL193W	YOR089C	YOR231W	
YDR382W	YML026C	YOR234C	YPR025C	YPR043W	
YCR012W	YEL031W	YMR173W	YNL192W	YOR070C	
YDR267C	YER171W	YHR122W	YIL128W	YMR178W	
YDR188W	YGR187C	YHR104W	YMR028W	YNL212W	
YDR517W	YGR136W	YJR052W	YOR089C	YOR231W	
YDR188W	YGR187C	YHR104W	YNL212W	
YDR342C	YML120C	YNR007C	YOR160W	
YDR295C	YOL090W	YPR065W	YPR179C	
YBR267W	YDR101C	YLR074C	YOR252W	
YGR123C	YOR027W	YPL161C	YPL240C	
YKL122C	YLR452C	YOR374W	YPL243W	
YBL045C	YDL074C	YDL189W	YDR529C	
YER125W	YHR131C	YJL084C	YKR021W	
YER150W	YLR043C	YLR249W	YOR165W	
YFL001W	YKL060C	YMR113W	YOL147C	
YBL002W	YBR278W	YDR121W	YJL065C	
YDR267C	YHR122W	YIL128W	YMR178W	
YAR042W	YER120W	YIL074C	YLR183C	
YDR188W	YGR187C	YHR104W	YMR028W	
YDL100C	YDR196C	YFL044C	YJL194W	
YFR014C	YML028W	YNR033W	YPR074C	
YAR035W	YDR135C	YDR171W	YJR010W	
YDR081C	YDR397C	YKR001C	YOL072W	
YFR031C-A	YGL031C	YJL191W	YML073C	
YDR101C	YLR074C	YOR252W	YPL249C-A	
YDR129C	YFL039C	YLR454W	YNL218W	
YGR240C	YNL045W	YOR286W	YPL193W	
YAL010C	YJL066C	YKR052C	YMR241W	
YDR517W	YJR052W	YNL193W	YOR231W	
YDR517W	YGR136W	YOR089C	YOR231W	
YDR517W	YGR136W	YNL193W	YOR231W	
YDR517W	YGR136W	YNL193W	YOR089C	
YBR125C	YDR186C	YGL115W	YGR152C	
YDR517W	YGR136W	YJR052W	YOR231W	
YDR382W	YML026C	YOR234C	YPR043W	
YDR517W	YGR136W	YJR052W	YNL193W	
YBR139W	YGR205W	YJL034W	YMR214W	
YDR382W	YML026C	YOR234C	YPR025C	
YLR429W	YMR262W	YNL225C	
YLR429W	YNL108C	YNL225C	
YLR429W	YNL225C	YPR125W	
YMR203W	YMR241W	YPR024W	
YFR014C	YML028W	YNR033W	
YFR010W	YGR135W	YHR200W	
YLR429W	YMR262W	YNL108C	
YMR243C	YOL098C	YOR133W	
YFR001W	YGL147C	YIL133C	
YLR389C	YMR037C	YPL184C	
YNL021W	YOL090W	YOR323C	
YML006C	YMR205C	YMR262W	
YER012W	YGR135W	YHR200W	
YJR148W	YLR259C	YNL085W	
YML120C	YNR007C	YOR160W	
YER031C	YFL038C	YPR017C	
YER031C	YKR014C	YMR258C	
YER031C	YKR014C	YOR375C	
YER053C	YGR130C	YKR018C	
YER008C	YLR166C	YML097C	
YER072W	YFR019W	YKL117W	
YER083C	YFL044C	YJL194W	
YER091C	YNR030W	YPR074C	
YDR338C	YER118C	YNL071W	
YFL001W	YKL060C	YOL147C	
YER122C	YGL137W	YIL076W	
YML026C	YOR234C	YPR043W	
YER125W	YHR131C	YJL084C	
YER125W	YHR131C	YKR021W	
YER136W	YLR262C	YLR272C	
YEL056W	YLL022C	YOL054W	
YFL001W	YKL060C	YMR113W	
YEL013W	YJL012C	YOR270C	
YHR024C	YLR163C	YLR172C	
YGR123C	YOR027W	YPL240C	
YGR123C	YPL161C	YPL240C	
YKL028W	YKR018C	YKR062W	
YGR130C	YKR018C	YMR031C	
YGR134W	YJR011C	YNL288W	
YGR135W	YGR232W	YHR200W	
YGR175C	YHR020W	YNL183C	
YGR240C	YNL045W	YOR286W	
YGR240C	YNL045W	YPL193W	
YGR240C	YOR286W	YPL193W	
YGR261C	YLR436C	YMR304W	
YHL001W	YMR029C	YMR052W	
YGR086C	YMR031C	YPL004C	
YHR122W	YIL128W	YMR178W	
YHR216W	YLR432W	YML056C	
YIL056W	YMR284W	YPR052C	
YIL078W	YJL208C	YMR099C	
YIL101C	YKL072W	YOL004W	
YIL128W	YMR178W	YNL240C	
YIL129C	YML081W	YNL272C	
YIL161W	YNL023C	YNL135C	
YJL066C	YKR052C	YMR241W	
YJL111W	YMR028W	YNL212W	
YJL128C	YLR006C	YNR031C	
YJR045C	YKL096W	YKR082W	
YLR044C	YLR134W	YOR245C	
YLR337C	YML001W	YOR181W	
YFR031C-A	YGL031C	YJL191W	
YLR270W	YOR173W	YPR025C	
YGL013C	YGR017W	YMR072W	
YGL013C	YNL272C	YOR038C	
YGL082W	YLR304C	YMR246W	
YGL091C	YIL129C	YML081W	
YGL105W	YGL245W	YLR142W	
YGL125W	YML082W	YPL023C	
YGL131C	YHL001W	YMR052W	
YGL157W	YLR429W	YPR125W	
YLR178C	YMR297W	YOL086C	
YLR386W	YOR187W	YPL083C	
YLR035C	YMR167W	YNL082W	
YLL048C	YML070W	YOL031C	
YGL207W	YGR163W	YGR217W	
YGL232W	YOR243C	YOR356W	
YGL245W	YKR071C	YLR142W	
YGR027C	YML126C	YPR004C	
YGR028W	YHR029C	YJL146W	
YLL048C	YML070W	YNL238W	
YKR048C	YLR133W	YMR139W	
YKL204W	YOL139C	YOR276W	
YKL064W	YLR407W	YOR061W	
YGR063C	YHL021C	YJL140W	
YBR159W	YGL013C	YOR038C	
YBL105C	YGR254W	YMR014W	
YBR011C	YIL161W	YNL023C	
YBR021W	YER151C	YLR441C	
YBR031W	YBR205W	YFR044C	
YBR034C	YML017W	YPR129W	
YBR049C	YLR176C	YMR284W	
YBR069C	YGL055W	YNL064C	
YBR086C	YDL171C	YLR257W	
YBR102C	YER008C	YML097C	
YBR102C	YJL085W	YML097C	
YBR109C	YLR433C	YML057W	
YBR125C	YGL115W	YGR152C	
YBR127C	YLR447C	YMR054W	
YBL103C	YGR017W	YMR072W	
YBR169C	YML112W	YOR007C	
YBR170C	YHR092C	YML013W	
YBR196C	YHR036W	YPL109C	
YBR196C	YLR088W	YPL109C	
YBR229C	YDR221W	YML067C	
YBR236C	YGR063C	YML010W	
YBR260C	YDL080C	YGR196C	
YBR263W	YGR204W	YPL009C	
YBR267W	YDL075W	YDR101C	
YBR278W	YDR121W	YJL065C	
