YCR012W	YEL031W	YGR279C	YMR173W	YNL192W	YOL147C	YOR070C	
YCR012W	YEL031W	YMR173W	YNL006W	YNL192W	YOL147C	YOR070C	
YCR012W	YEL031W	YGR279C	YMR173W	YNL006W	YOR070C	
YFR031C-A	YGL031C	YGR085C	YJL191W	YML073C	YNL069C	
YCR012W	YDR216W	YGR279C	YMR173W	YOL147C	YOR070C	
YDR517W	YGR136W	YJR052W	YNL193W	YOR089C	YOR231W	
YCR012W	YEL031W	YMR173W	YNL192W	YOR070C	
YFR031C-A	YGR085C	YJL191W	YML073C	YNL069C	
YDR188W	YGR187C	YHR104W	YMR028W	YNL212W	
YFR031C-A	YGR085C	YJL191W	YML073C	YPL143W	
YDR267C	YER171W	YHR122W	YIL128W	YMR178W	
YDR517W	YGR136W	YJR052W	YNL193W	YOR089C	
YDR517W	YGR136W	YJR052W	YNL193W	YOR231W	
YDR517W	YGR136W	YJR052W	YOR089C	YOR231W	
YDR517W	YJR052W	YNL193W	YOR089C	YOR231W	
YCR012W	YDR216W	YGR279C	YMR173W	YOR070C	
YGR240C	YNL045W	YOR286W	YPL193W	
YFR031C-A	YGR085C	YML073C	YMR142C	
YDR267C	YHR122W	YIL128W	YMR178W	
YFL001W	YKL060C	YMR113W	YOL147C	
YBR139W	YGR205W	YJL034W	YMR214W	
YDR188W	YGR187C	YHR104W	YNL212W	
YER150W	YLR043C	YLR249W	YOR165W	
YGR123C	YOR027W	YPL161C	YPL240C	
YDR188W	YGR187C	YHR104W	YMR028W	
YER125W	YHR131C	YJL084C	YKR021W	
YDR382W	YML026C	YOR234C	YPR025C	
YDR517W	YJR052W	YNL193W	YOR231W	
YAL010C	YJL066C	YKR052C	YMR241W	
YDR517W	YGR136W	YOR089C	YOR231W	
YDR517W	YGR136W	YNL193W	YOR231W	
YDR517W	YGR136W	YNL193W	YOR089C	
YDR517W	YGR136W	YJR052W	YOR231W	
YAR035W	YDR135C	YDR171W	YJR010W	
YDR517W	YGR136W	YJR052W	YNL193W	
YBL002W	YBR278W	YDR121W	YJL065C	
YDR081C	YDR397C	YKR001C	YOL072W	
YDR101C	YLR074C	YOR252W	YPL249C-A	
YBL045C	YDL074C	YDL189W	YDR529C	
YDL100C	YDR196C	YFL044C	YJL194W	
YDR382W	YOR234C	YPR025C	YPR043W	
YKL122C	YLR452C	YOR374W	YPL243W	
YFR031C-A	YGR085C	YJL191W	YML073C	
YGL091C	YIL129C	YML081W	
YGL013C	YGR017W	YMR072W	
YGL013C	YNL272C	YOR038C	
YGL082W	YLR304C	YMR246W	
YGL131C	YHL001W	YMR052W	
YGL105W	YGL245W	YLR142W	
YGL125W	YML082W	YPL023C	
YGR063C	YHL021C	YJL140W	
YFR031C-A	YGR085C	YJL191W	
YFR014C	YML028W	YNR033W	
YFR010W	YGR135W	YHR200W	
YFR001W	YGL147C	YIL133C	
YFL001W	YKL060C	YOL147C	
YFL001W	YKL060C	YMR113W	
YER136W	YLR262C	YLR272C	
YER125W	YHR131C	YKR021W	
YER125W	YHR131C	YJL084C	
YER122C	YGL137W	YIL076W	
YER091C	YNR030W	YPR074C	
YER083C	YFL044C	YJL194W	
YER072W	YFR019W	YKL117W	
YER053C	YGR130C	YKR018C	
YER031C	YKR014C	YMR258C	
YER031C	YFL038C	YPR017C	
YLR044C	YLR134W	YOR245C	
YJL066C	YKR052C	YMR241W	
YJL111W	YMR028W	YNL212W	
YJL128C	YLR006C	YNR031C	
YJR045C	YKL096W	YKR082W	
YJR148W	YLR259C	YNL085W	
YKL028W	YKR018C	YKR062W	
YKL064W	YLR407W	YOR061W	
YKL204W	YOL139C	YOR276W	
YKR048C	YLR133W	YMR139W	
YLL048C	YML070W	YNL238W	
YLL048C	YML070W	YOL031C	
YLR035C	YMR167W	YNL082W	
YIL161W	YNL023C	YNL135C	
YLR178C	YMR297W	YOL086C	
YLR270W	YOR173W	YPR025C	
YLR386W	YOR187W	YPL083C	
YLR389C	YMR037C	YPL184C	
YLR429W	YMR262W	YNL108C	
YLR429W	YMR262W	YNL225C	
YLR429W	YNL108C	YNL225C	
YLR429W	YNL225C	YPR125W	
YML006C	YMR205C	YMR262W	
YML120C	YNR007C	YOR160W	
YMR203W	YMR241W	YPR024W	
YMR243C	YOL098C	YOR133W	
YGR175C	YHR020W	YNL183C	
YGL207W	YGR163W	YGR217W	
YGL232W	YOR243C	YOR356W	
YGL245W	YKR071C	YLR142W	
YGR027C	YML126C	YPR004C	
YGR028W	YHR029C	YJL146W	
YDR382W	YOR234C	YPR043W	
YGR086C	YMR031C	YPL004C	
YGR123C	YOR027W	YPL240C	
YGR123C	YPL161C	YPL240C	
YGR130C	YKR018C	YMR031C	
YGR134W	YJR011C	YNL288W	
YGR135W	YGR232W	YHR200W	
YGL157W	YLR429W	YPR125W	
YGR240C	YNL045W	YOR286W	
YGR240C	YNL045W	YPL193W	
YGR240C	YOR286W	YPL193W	
