YCR057C	YDR071C	YDR299W	YDR365C	YDR449C	YGL120C	YGR145W	YHR065C	YIL142W	YJL069C	YKL015W	YLR129W	YLR222C	YLR409C	YMR259C	YNL224C	YNR054C	YOR310C	YPR137W	
YBR125C	YDL156W	YEL056W	YER161C	YGL229C	YIR035C	YJL187C	YJR154W	YLL022C	YLR185W	YMR072W	YMR233W	YNL030W	YNL206C	YNL261W	YOR058C	YOR386W	YPL001W	YPR162C	
YAL062W	YBL019W	YBR115C	YBR161W	YCL044C	YCR020W-B	YDL179W	YDR520C	YEL047C	YER062C	YGR056W	YGR275W	YIL033C	YJL164C	YKR008W	YLR357W	YMR091C	YOL070C	YPL203W	
YBL093C	YDL005C	YGL025C	YGL127C	YGL151W	YGR198W	YHR041C	YHR058C	YKR067W	YLR071C	YMR287C	YNL025C	YNL236W	YNR010W	YOL051W	YOL135C	YOR174W	YOR349W	YPL042C	
YAL062W	YBL019W	YBR115C	YBR161W	YCL044C	YCR020W-B	YDL179W	YDR520C	YEL047C	YER062C	YGR056W	YGR275W	YIL033C	YLR321C	YLR357W	YMR091C	YOL070C	YOR115C	YPL203W	
YBL093C	YDL005C	YDR443C	YGL025C	YGL127C	YGL151W	YHR041C	YHR058C	YKR067W	YLR071C	YMR287C	YNL025C	YNL236W	YNR010W	YOL051W	YOL135C	YOR174W	YOR349W	YPL042C	
YBR175W	YDR103W	YDR251W	YEL023C	YER086W	YER095W	YHL002W	YJL052W	YJL128C	YJL203W	YJR009C	YKL216W	YKR042W	YNL273W	YOR269W	YOR299W	YOR305W	YOR368W	YPL003W	
YBL093C	YCR081W	YDL005C	YER022W	YGL025C	YGL127C	YGL151W	YGR198W	YHR041C	YKR067W	YMR287C	YNL236W	YNR010W	YOL051W	YOL135C	YOR174W	YOR349W	YPL042C	YPR070W	
YBL058W	YBR170C	YBR273C	YCR084C	YDL126C	YDL190C	YDR295C	YDR330W	YFL044C	YGL108C	YJR053W	YJR098C	YKL204W	YKL213C	YLR377C	YML064C	YMR067C	YOR342C	YPL133C	
YAL062W	YBL059W	YBL082C	YBR259W	YCR079W	YDL115C	YDR143C	YGL043W	YGL070C	YGR005C	YGR063C	YGR140W	YGR186W	YIL021W	YJL140W	YML010W	YOL005C	YOR151C	YPL129W	
YBL093C	YCR081W	YDL005C	YDR308C	YER022W	YGL025C	YGL127C	YGR104C	YHR041C	YKL054C	YMR230W	YNL236W	YNR010W	YOL051W	YOL135C	YPL042C	YPL210C	YPR070W	YPR168W	
YAL062W	YAR071W	YBL019W	YBR115C	YBR161W	YCL044C	YCR020W-B	YDL179W	YDR520C	YEL047C	YER062C	YGR275W	YIL033C	YJL164C	YJR002W	YLR321C	YLR357W	YMR091C	YOL070C	
YAL062W	YBL059W	YBL082C	YCR079W	YDL115C	YDL140C	YDR289C	YDR404C	YDR463W	YGL043W	YGL070C	YGL124C	YGR005C	YGR063C	YGR186W	YJR017C	YML010W	YOR151C	YOR224C	
YBL093C	YCR081W	YDL005C	YDR308C	YDR443C	YGL025C	YGL127C	YGR104C	YGR198W	YHR041C	YKR067W	YMR287C	YNL236W	YNR010W	YOL051W	YOR174W	YOR349W	YPL042C	YPR070W	
