YBL019W	YBR115C	YBR161W	YBR289W	YCL044C	YCR020W-B	YDL179W	YDR520C	YEL047C	YGR275W	YHL025W	YJL176C	YLR321C	YLR357W	YMR091C	YNL307C	YNR023W	YOL070C	YOR290C	
YBR135W	YBR235W	YDR001C	YDR099W	YDR348C	YER016W	YER177W	YFR017C	YGL181W	YGR097W	YHR161C	YIR003W	YKR098C	YML006C	YNL267W	YNR014W	YNR047W	YOR140W	YOR220W	
YBR081C	YCL010C	YCR082W	YDL059C	YDR145W	YDR176W	YDR208W	YDR392W	YDR448W	YGL066W	YGR130C	YGR252W	YLR055C	YOL148C	YOR023C	YPL047W	YPL222W	YPL254W	YPR008W	
YBR081C	YCL010C	YCR082W	YDL059C	YDR145W	YDR176W	YDR208W	YDR392W	YDR448W	YGL066W	YGR130C	YGR252W	YLR055C	YMR223W	YOL148C	YOR023C	YPL047W	YPL222W	YPL254W	
YBR081C	YCL010C	YCR082W	YDL059C	YDR145W	YDR176W	YDR208W	YDR392W	YDR406W	YDR448W	YGL066W	YGR130C	YGR252W	YLR055C	YOL148C	YOR023C	YPL047W	YPL254W	YPR008W	
YBR289W	YFL049W	YGR275W	YHL025W	YIL177C	YJL137C	YJL176C	YLR035C	YML114C	YMR159C	YNL085W	YNL307C	YOR156C	YOR290C	YPL016W	YPL129W	YPL208W	YPR034W	YPR081C	
YBR289W	YDR520C	YFL049W	YGR275W	YHL025W	YIL177C	YJL137C	YJL176C	YLR035C	YMR033W	YNL085W	YNL307C	YNR023W	YOR156C	YOR290C	YPL129W	YPL208W	YPR034W	YPR081C	
YBR081C	YCL010C	YCR082W	YDL059C	YDR145W	YDR176W	YDR208W	YDR392W	YDR406W	YDR448W	YGL066W	YGR130C	YGR252W	YLR055C	YMR223W	YOL148C	YOR023C	YPL047W	YPL254W	
YAL019W	YBL008W	YDR043C	YER164W	YGL019W	YIL035C	YIL121W	YJL115W	YLR387C	YLR407W	YMR154C	YMR172W	YNL031C	YNL079C	YOL088C	YOR038C	YOR052C	YOR054C	YOR061W	
YAL019W	YBR084W	YBR088C	YER164W	YGL019W	YGL207W	YGR063C	YHR035W	YIL035C	YKL088W	YLR387C	YLR407W	YNL031C	YOL088C	YOR039W	YOR052C	YOR054C	YOR061W	YOR101W	
YBL024W	YDR462W	YDR494W	YER050C	YER063W	YGR084C	YGR215W	YIL070C	YJR031C	YJR101W	YKL151C	YKL155C	YMR158W	YNL081C	YNL168C	YNR037C	YOL143C	YOR158W	YPL013C	
YAL019W	YBR088C	YBR279W	YGL244W	YIL035C	YJR148W	YKR072C	YLL063C	YLR362W	YLR387C	YLR407W	YLR418C	YLR430W	YMR113W	YMR154C	YOL088C	YOL145C	YOR061W	YOR123C	
YBL024W	YBR146W	YBR251W	YDR175C	YDR337W	YGL129C	YGR165W	YGR215W	YHR059W	YIL070C	YIL093C	YJR096W	YJR101W	YKL151C	YKL155C	YNL022C	YNL242W	YOL143C	YPL032C	
YBR081C	YBR198C	YCR082W	YDL059C	YDR145W	YDR167W	YDR176W	YDR392W	YDR448W	YDR523C	YGL066W	YGL112C	YGR252W	YLR055C	YMR223W	YOL148C	YOR023C	YPL047W	YPL254W	
YAL019W	YBR279W	YHR131C	YIL035C	YJR148W	YKL088W	YKL160W	YLR387C	YLR407W	YLR418C	YMR154C	YMR230W	YOL088C	YOL145C	YOR039W	YOR054C	YOR061W	YOR123C	YPL084W	
YAL019W	YDR043C	YER164W	YGL019W	YGR063C	YIL035C	YJL115W	YKL160W	YLR362W	YLR387C	YLR407W	YMR154C	YMR172W	YNL031C	YOL088C	YOR039W	YOR052C	YOR054C	YOR061W	
YBR081C	YCL010C	YCR082W	YDL059C	YDR145W	YDR176W	YDR392W	YDR406W	YDR448W	YGL066W	YGR130C	YGR252W	YLR055C	YMR223W	YMR236W	YOL148C	YPL047W	YPL254W	YPR008W	
YAL019W	YER164W	YGL019W	YGR063C	YHR131C	YIL035C	YKL088W	YKL160W	YLR387C	YLR407W	YMR154C	YMR172W	YMR230W	YNL031C	YNL079C	YOL088C	YOR039W	YOR054C	YOR061W	
YBR289W	YDR520C	YER155C	YFL049W	YGR275W	YHL025W	YIL177C	YJL176C	YLR035C	YMR033W	YMR159C	YNL085W	YNR023W	YOR156C	YOR290C	YPL016W	YPL208W	YPR034W	YPR081C	
YBL079W	YCR008W	YCR009C	YDL134C	YDR081C	YDR212W	YDR314C	YEL001C	YEL037C	YER048C	YHR042W	YIL039W	YKR082W	YLR429W	YML011C	YNL032W	YNL073W	YOL098C	YOR145C	
YBR289W	YCR052W	YDL179W	YFL049W	YHL025W	YHR008C	YIL177C	YJL176C	YLR035C	YLR357W	YML127W	YMR159C	YNL307C	YNR023W	YOR156C	YOR290C	YPL208W	YPR034W	YPR081C	
YBR081C	YBR198C	YCL010C	YDR167W	YDR176W	YDR208W	YDR392W	YDR448W	YGL066W	YGR252W	YGR274C	YLR055C	YMR223W	YMR236W	YOL148C	YPL047W	YPL222W	YPL254W	YPR008W	
YBR081C	YBR198C	YCL010C	YDL059C	YDR176W	YDR406W	YDR448W	YGL066W	YGR252W	YIL016W	YLR055C	YML015C	YML098W	YMR005W	YMR223W	YOL148C	YPL047W	YPL222W	YPL254W	
YBR081C	YBR198C	YCL010C	YDL059C	YDR167W	YDR176W	YDR392W	YDR406W	YDR448W	YGL066W	YGR252W	YGR274C	YLR055C	YMR223W	YMR236W	YOL148C	YPL047W	YPL222W	YPL254W	
YBL082C	YBL093C	YBR193C	YCR081W	YDL005C	YGL025C	YGL127C	YGL151W	YGR104C	YGR198W	YHR041C	YHR058C	YKR067W	YMR112C	YMR287C	YNL236W	YOL051W	YOR174W	YOR349W	
YBR146W	YBR251W	YDR041W	YDR124W	YDR347W	YER050C	YGL129C	YGR165W	YHR216W	YJR031C	YJR060W	YJR096W	YJR101W	YMR158W	YNL022C	YNL081C	YNL242W	YPL013C	YPL118W	
YBR146W	YBR251W	YDR041W	YDR304C	YDR494W	YER050C	YHR216W	YJR031C	YJR096W	YJR101W	YKL003C	YKL155C	YMR158W	YNL022C	YNL081C	YNL137C	YNL242W	YPL013C	YPL118W	
YBR146W	YBR251W	YDR041W	YDR304C	YDR494W	YER050C	YHR216W	YJR031C	YJR101W	YKL003C	YKL054C	YKL155C	YMR158W	YNL022C	YNL081C	YNL137C	YNL242W	YPL013C	YPL118W	
YBR146W	YBR251W	YDR124W	YDR304C	YDR347W	YER050C	YGL129C	YGR165W	YHR155W	YJR031C	YJR060W	YJR096W	YJR101W	YMR158W	YNL022C	YNL081C	YNL242W	YPL013C	YPL118W	
YBR066C	YBR081C	YBR198C	YCR082W	YDL059C	YDR145W	YDR167W	YDR176W	YDR392W	YDR448W	YGL066W	YGL112C	YGR252W	YLR055C	YMR223W	YOL148C	YOR023C	YPL047W	YPL254W	
YBR146W	YBR251W	YDR124W	YDR347W	YER050C	YGL129C	YGR165W	YHR155W	YHR216W	YJR031C	YJR060W	YJR096W	YJR101W	YMR158W	YNL022C	YNL081C	YNL242W	YPL013C	YPL118W	
YBL008W	YBR215W	YDR043C	YIL035C	YIL121W	YJL115W	YJR140C	YKL088W	YLR387C	YLR403W	YLR407W	YMR172W	YNL030W	YNL031C	YNL206C	YOR038C	YOR039W	YOR054C	YOR061W	
YBR047W	YDL019C	YDL145C	YDR238C	YER120W	YER122C	YFR051C	YGL137W	YGR233C	YHR066W	YIL076W	YLR260W	YNL088W	YNL255C	YNL272C	YNL287W	YPL010W	YPL031C	YPL219W	
YAL011W	YDL076C	YDR359C	YEL018W	YGR002C	YGR255C	YJL081C	YJL168C	YJR082C	YMR075W	YMR263W	YNL059C	YNL136W	YNL330C	YOL004W	YPL059W	YPL139C	YPR023C	YPR031W	
YCL030C	YCR053W	YDL077C	YDR127W	YDR129C	YER091C	YFR044C	YGR240C	YHR179W	YJR009C	YNL273W	YOL013C	YOR027W	YOR299W	YOR368W	YPL003W	YPL240C	YPR069C	YPR164W	
YBR081C	YCL010C	YDR145W	YDR176W	YDR392W	YDR406W	YGL066W	YGL112C	YGR130C	YGR252W	YLR055C	YML098W	YMR223W	YMR227C	YOL148C	YOR023C	YPL047W	YPL254W	YPR008W	
YBR026C	YCR009C	YDL029W	YDL036C	YDL190C	YEL037C	YER162C	YHR200W	YIL062C	YIL148W	YJR065C	YKL005C	YKL080W	YKR001C	YLR370C	YML011C	YNL084C	YPL096W	YPR062W	
YBR026C	YBR059C	YCR009C	YDL160C	YDL190C	YDR165W	YEL037C	YFR053C	YGL253W	YIL038C	YIL148W	YKL080W	YKR001C	YLR131C	YNL084C	YNL111C	YNR031C	YOR081C	YPR062W	
YAL013W	YAL034C	YBR095C	YBR223C	YDL076C	YDR207C	YGR255C	YGR263C	YIL084C	YKL185W	YMR075W	YMR263W	YNL097C	YNL330C	YOL004W	YPL059W	YPL139C	YPL181W	YPR184W	
YAL013W	YAL034C	YBR095C	YBR223C	YDL076C	YDR207C	YGR255C	YGR263C	YIL084C	YKL185W	YMR263W	YNL097C	YNL330C	YOL004W	YPL059W	YPL139C	YPL181W	YPR023C	YPR184W	
YAL013W	YAL034C	YBR095C	YBR223C	YDL076C	YGR255C	YGR263C	YIL084C	YJL168C	YMR075W	YMR263W	YNL097C	YNL330C	YOL004W	YPL059W	YPL139C	YPL181W	YPR023C	YPR184W	
YAL013W	YAL034C	YBR095C	YBR223C	YDL076C	YGR255C	YGR263C	YIL084C	YKL185W	YMR075W	YMR263W	YNL097C	YNL330C	YOL004W	YPL059W	YPL139C	YPL181W	YPR023C	YPR184W	
YBR108W	YDL070W	YDR490C	YFR019W	YGR086C	YGR130C	YJL110C	YJR156C	YKL142W	YKR086W	YLR079W	YLR179C	YMR031C	YMR086W	YNL067W	YOL045W	YPL004C	YPL155C	YPR115W	
YBR108W	YDL070W	YDR490C	YGL116W	YGR086C	YGR237C	YJL095W	YJL110C	YJR156C	YKL142W	YLR179C	YMR031C	YMR086W	YNL067W	YNL251C	YOL045W	YPL004C	YPL155C	YPR115W	
YBR109C	YBR218C	YER098W	YFL014W	YFR014C	YGL242C	YJR104C	YKL129C	YKL190W	YLR288C	YLR356W	YLR433C	YML057W	YMR071C	YMR109W	YMR315W	YOL016C	YOR127W	YOR315W	
YBR119W	YBR152W	YER029C	YFL017W-A	YGR013W	YGR074W	YGR278W	YJL164C	YJR022W	YKL012W	YKL173W	YLR014C	YLR275W	YNL092W	YOR159C	YOR305W	YOR308C	YPR057W	YPR178W	
YBR047W	YDL019C	YDL145C	YDR047W	YDR238C	YER120W	YER122C	YFR051C	YGL137W	YGR233C	YHR066W	YIL076W	YLR260W	YNL088W	YNL255C	YNL287W	YPL010W	YPL031C	YPL219W	
YBR119W	YDL087C	YDR235W	YDR240C	YFL017W-A	YGL238W	YGR013W	YGR074W	YIL061C	YJL035C	YKL012W	YLR014C	YLR275W	YLR298C	YML046W	YNL024C	YOR159C	YOR305W	YPR057W	
YBR066C	YBR081C	YCL010C	YCR082W	YDL059C	YDR176W	YDR392W	YGL066W	YGL112C	YGR252W	YLR055C	YML098W	YMR223W	YOL148C	YOR023C	YPL011C	YPL047W	YPL254W	YPR008W	
