YAL029C	YBR109C	YGL242C	YKL007W	YKL129C	YLL040C	YLR433C	YML057W	YMR109W	YPR171W	
YAL029C	YBR109C	YGL242C	YKL129C	YLL040C	YLR433C	YML057W	YMR109W	YPR171W	
YBL002W	YCL024W	YDR507C	YGL241W	YKR048C	YMR139W	YNL078W	YOL070C	
YBL002W	YCL024W	YDR507C	YKR048C	YMR139W	YNL078W	YOL012C	YOL070C	
YCL024W	YDR507C	YGL241W	YKR048C	YMR139W	YNL078W	YOL012C	YOL070C	
YAR014C	YCR073W-A	YER133W	YKL193C	YLR028C	YMR311C	YNL233W	
YAL029C	YBR109C	YGL242C	YKL129C	YLL040C	YLR433C	YML057W	
YCL024W	YDR507C	YGL241W	YKR048C	YMR139W	YNL078W	YOL070C	
YBR025C	YDL143W	YDR214W	YFL045C	YGL195W	YIL094C	YOR136W	
YCL024W	YDR507C	YKR048C	YMR139W	YNL078W	YOL012C	YOL070C	
YCR009C	YDR129C	YLR429W	YMR109W	YNL106C	YPR171W	
YAR014C	YCR073W-A	YER133W	YKL193C	YMR311C	YNL233W	
YAR014C	YCR073W-A	YER133W	YLR028C	YMR311C	YNL233W	
YAL034C	YBR017C	YEL022W	YER110C	YLR335W	YPR174C	
YBR025C	YDR214W	YFL045C	YGL195W	YIL094C	YOR136W	
YDR129C	YKL007W	YLR429W	YMR109W	YNL106C	YPR171W	
YBL002W	YCL024W	YDR507C	YKR048C	YNL078W	YOL070C	
YAR014C	YCR073W-A	YER133W	YMR311C	YNL233W	YPL137C	
YBR196C	YDR050C	YLR044C	YMR083W	YMR303C	YOL086C	
YCR009C	YDR129C	YGR086C	YLR429W	YNL106C	YPR171W	
YCL024W	YDR507C	YKR048C	YMR139W	YNL078W	YOL070C	
YBR221C	YDR148C	YFL018C	YFR049W	YGR193C	YIL125W	
YBR135W	YDL155W	YKR091W	YLR079W	YMR199W	YPL256C	
YER125W	YHR131C	YJL084C	YKR021W	YOR124C	YOR138C	
YCL024W	YDR507C	YGL241W	YKR048C	YMR139W	YNL078W	
YBR109C	YGL242C	YKL129C	YLL040C	YLR433C	YML057W	
YBR109C	YKL129C	YLL040C	YLR433C	YML057W	YMR109W	
YCR028C-A	YDL156W	YER104W	YHR164C	YML032C	YNL312W	
YGR233C	YJL005W	YNL138W	YOL001W	YPL031C	
YAR014C	YCR073W-A	YER133W	YKL193C	YMR311C	
YAR014C	YCR073W-A	YER133W	YMR311C	YNL233W	
YBR025C	YDR214W	YGL195W	YIL094C	YOR136W	
YDR214W	YFL045C	YGL195W	YIL094C	YOR136W	
YBR065C	YCR063W	YDR416W	YHR156C	YHR165C	
YAR073W	YDL040C	YLR449W	YOL041C	YPL198W	
YCR012W	YKL060C	YMR083W	YMR303C	YOL086C	
YDR050C	YLR044C	YMR083W	YMR303C	YOL086C	
YDR050C	YGR192C	YHR174W	YKL060C	YKL152C	
YCR009C	YDR129C	YLR429W	YNL106C	YPR171W	
YBR011C	YDL203C	YLR371W	YLR425W	YPL066W	
YCL024W	YDR507C	YKR048C	YNL078W	YOL070C	
YCL024W	YDR507C	YKR048C	YMR139W	YNL078W	
YDR016C	YGR113W	YKL052C	YKR037C	YKR083C	
YDR171W	YGR234W	YLR259C	YNL055C	YNL085W	
YBL058W	YBR170C	YDL126C	YDR049W	YGR048W	
YJR068W	YMR078C	YNL290W	YOR144C	YOR217W	
YFR002W	YGR119C	YIL115C	YJL041W	YJL061W	
YDR517W	YIL109C	YNL049C	YPL085W	YPR181C	
YDR127W	YJL138C	YMR186W	YOR027W	YPL240C	
YDL047W	YGL197W	YJL098W	YLR310C	YOR267C	
YDL047W	YGL197W	YGR161C	YJL098W	YOR267C	
YBR135W	YKR091W	YLR079W	YMR199W	YPL256C	
YAL029C	YBR130C	YHR023W	YKL130C	YOR326W	
YER164W	YHR131C	YLR407W	YMR172W	YOR061W	
YDR485C	YLR085C	YLR385C	YLR399C	YNL107W	
YDR129C	YLR429W	YMR109W	YNL106C	YPR171W	
YBR135W	YDL155W	YLR079W	YMR199W	YPL256C	
YDL143W	YDR214W	YGL195W	YIL094C	YOR136W	
YDR148C	YFL018C	YFR049W	YGR193C	YIL125W	
YGL173C	YGR054W	YKL023W	YNL118C	YPR140W	
YAL034C	YBR017C	YEL022W	YER110C	YPR174C	
YER125W	YJL084C	YKR021W	YOR124C	YOR138C	
YCR073W-A	YER133W	YLR028C	YMR311C	YNL233W	
YBR221C	YDR148C	YFL018C	YGR193C	YIL125W	
YGR233C	YIL050W	YOL001W	YPL031C	YPL219W	
YDL115C	YDL140C	YER139C	YGL043W	YPR093C	
YDR214W	YGL195W	YIL094C	YKL029C	YOR136W	
YBR127C	YGR020C	YLR447C	YOR270C	
YDR022C	YLR423C	YPL166W	YPR049C	
YCL008C	YGR206W	YLR119W	YPL065W	
YBR128C	YLR240W	YLR360W	YPL120W	
YBR135W	YKR091W	YMR199W	YPL256C	
YFL007W	YGR135W	YKL168C	YPR103W	
YDR118W	YGL240W	YHR166C	YLR102C	
YBR136W	YCR028C-A	YDL156W	YJL173C	
YHL029C	YNL032W	YNL056W	YNL099C	
YDR050C	YGR192C	YHR174W	YKL060C	
YBR160W	YDL155W	YLR079W	YLR210W	
YBR160W	YDL155W	YLR079W	YPL256C	
YER125W	YJL084C	YOR124C	YOR138C	
YER125W	YKR021W	YOR124C	YOR138C	
YDR101C	YFR001W	YGL246C	YLL045C	
YDR099W	YER177W	YGL252C	YLR028C	
YDR050C	YLR044C	YMR083W	YOL086C	
YBR196C	YMR083W	YMR303C	YOL086C	
YFL007W	YGL011C	YGR135W	YKL168C	
YBR221C	YER178W	YGR193C	YNL071W	
YDR050C	YMR083W	YMR303C	YOL086C	
YFL034W	YHL019C	YKL135C	YLR170C	
YDR001C	YDR099W	YER177W	YLR028C	
YHR081W	YNR024W	YOR001W	YOR076C	
YGL241W	YKR048C	YNL078W	YOL070C	
YCR095C	YNL032W	YNL056W	YNL099C	
YGL061C	YGR113W	YKR037C	YKR083C	
YGR134W	YJR011C	YNL288W	YNR052C	
YDL013W	YFR010W	YLR421C	YMR191W	
YDL185W	YJR033C	YJR121W	YKL080W	
YGR119C	YIL115C	YJL041W	YMR047C	
YDL047W	YFR040W	YJL098W	YKR028W	
YDL047W	YGL197W	YJL098W	YOR267C	
YDL047W	YGR161C	YJL098W	YOR267C	
YDL175C	YML117W	YOL115W	YPL190C	
YDL175C	YJL050W	YLR430W	YOL115W	
YCR095C	YHL029C	YNL056W	YNL099C	
YDL156W	YHR164C	YML032C	YNL312W	
YGL240W	YKL022C	YLR102C	YNL172W	
YGL240W	YHR166C	YLR102C	YOR249C	
YGL240W	YHR166C	YLR102C	YNL172W	
YDL143W	YDR214W	YGL195W	YOR136W	
YDL134C	YDL188C	YMR273C	YOR014W	
YGL173C	YGR054W	YKL023W	YPR140W	
YDL108W	YDR460W	YPR025C	YPR056W	
YDL116W	YGL100W	YJR042W	YPL169C	
YGL173C	YKL023W	YNL118C	YPR140W	
YGR233C	YJL005W	YOL001W	YPL031C	
YCL011C	YDR381W	YHR167W	YNL253W	
YGR285C	YHR064C	YJL080C	YPR189W	
YDR013W	YDR489W	YJL072C	YOL146W	
YCR002C	YDL225W	YHR107C	YJR092W	
YCR002C	YDL225W	YJR092W	YLR314C	
YCR009C	YDR129C	YLR429W	YPR171W	
YDR001C	YER177W	YGL252C	YLR028C	
YDL115C	YGL043W	YGL070C	YGR063C	
YCR012W	YMR083W	YMR303C	YOL086C	
YGR233C	YOL001W	YPL031C	YPL219W	
YCR014C	YDR320C	YHR027C	YMR191W	
YFR002W	YGR119C	YJL041W	YJL061W	
YGR233C	YJL005W	YNL138W	YPL031C	
YCR028C-A	YDL156W	YHR164C	YNL312W	
YCR028C-A	YDL156W	YJL173C	YML032C	
YGR233C	YIL050W	YPL031C	YPL219W	
YGR233C	YIL050W	YOL001W	YPL031C	
YGR195W	YHR081W	YNR024W	YOR001W	
YCR063W	YHR156C	YHR165C	YKR022C	
YGR192C	YHR174W	YKL060C	YKL152C	
YCR095C	YDR067C	YHL029C	YNL032W	
YCR095C	YDR067C	YHL029C	YNL099C	
YAR014C	YCR073W-A	YER133W	YMR311C	
YAL034C	YEL022W	YER110C	YPR174C	
YAL034C	YER110C	YLR335W	YPR174C	
YLR044C	YMR083W	YMR303C	YOL086C	
YDR517W	YNL049C	YPL085W	YPR181C	
YDR214W	YGL195W	YIL094C	YOR136W	
YKR060W	YML024W	YML026C	YOR096W	
YAR002W	YNL189W	YOR001W	YPL020C	
YDR202C	YDR328C	YKR014C	YMR258C	
YAR002W	YNL189W	YOR098C	YPL020C	
YAR007C	YCR092C	YDR097C	YOL090W	
YAL034C	YBR017C	YER110C	YPR174C	
YAR014C	YER133W	YNL233W	YPL137C	
YBL002W	YMR072W	YOR058C	YPR052C	
YDR201W	YGR113W	YKR037C	YKR083C	
YKL196C	YLR268W	YNL258C	YOR075W	
YBL018C	YBR167C	YBR257W	YGR030C	
YER012W	YFL007W	YGR135W	YKL168C	
YKL088W	YKR072C	YML016C	YOR054C	
YBL046W	YDR075W	YIL153W	YNL201C	
YKL081W	YLL026W	YPL048W	YPR080W	
YBL046W	YDR075W	YML010W	YNL201C	
YMR078C	YNL290W	YOR144C	YOR217W	
YDR460W	YLR005W	YPR025C	YPR056W	
