YBR065C	YCR063W	YDR416W	YHR156C	YHR165C	
YAL029C	YBR109C	YKL129C	YLL040C	YLR433C	
YBR109C	YKL129C	YLL040C	YLR433C	YML057W	
YAR014C	YER133W	YMR311C	YNL233W	YPL137C	
YBR136W	YCR028C-A	YDL156W	YJL173C	
YBL058W	YBR170C	YDL126C	YDR049W	
YER125W	YHR131C	YJL084C	YKR021W	
YBR065C	YCR063W	YJR050W	YPR101W	
YER164W	YLR407W	YMR172W	YOR061W	
YDL156W	YER104W	YHR164C	YNL312W	
YBR109C	YKL129C	YLL040C	YLR433C	
YIL050W	YOL001W	YPL031C	YPL219W	
YBR135W	YKR091W	YMR199W	YPL256C	
YDR050C	YMR083W	YMR303C	YOL086C	
YDL140C	YER139C	YGL043W	YPR093C	
YDL108W	YDR460W	YPR025C	YPR056W	
YGL061C	YGR113W	YKR037C	YKR083C	
YGL173C	YGR054W	YKL023W	YPR140W	
YGR233C	YIL050W	YPL031C	YPL219W	
YDL047W	YFR040W	YJL098W	YKR028W	
YCR009C	YDR129C	YLR429W	YPR171W	
YCR012W	YMR083W	YMR303C	YOL086C	
YGL241W	YKR048C	YMR139W	YNL078W	
YGL240W	YHR166C	YLR102C	YNL172W	
YDR233C	YHR146W	YJL146W	YPL154C	
YBL056W	YBR125C	YDR071C	YER089C	
YKL088W	YKR072C	YML016C	YOR054C	
YAR014C	YER133W	YKL193C	YMR311C	
YDR171W	YGR234W	YNL055C	YNL085W	
YDR201W	YGR113W	YKR037C	YKR083C	
YAR014C	YER133W	YMR311C	YNL233W	
YDR267C	YER171W	YHR122W	YIL128W	
YAR014C	YER133W	YNL233W	YPL137C	
YGL173C	YGR054W	YPR140W	
YGL097W	YJR074W	YOR185C	
YGL097W	YLR293C	YOR185C	
YGL098W	YLR268W	YLR440C	
YGL120C	YGR159C	YNL224C	
YEL013W	YOR270C	YPR149W	
YER031C	YER136W	YLR262C	
YEL002C	YGL022W	YMR149W	
YGL173C	YNL118C	YPR140W	
YDR502C	YGR240C	YLR180W	
YGL197W	YJL098W	YOR267C	
YDR498C	YLR268W	YLR440C	
YGL213C	YKL023W	YLR398C	
YDR490C	YGR086C	YKL142W	
YDR171W	YNL055C	YNL085W	
YER008C	YJL085W	YLR166C	
YGL049C	YIR001C	YML117W	
YFR032C-A	YGL189C	YKL046C	
YER122C	YGL137W	YIL076W	
YFR010W	YHR200W	YMR191W	
YFR001W	YGL246C	YLL045C	
YER071C	YIL034C	YIR003W	
YFL018C	YFR049W	YGR193C	
YFL007W	YGR135W	YKL168C	
YER071C	YIL034C	YKL007W	
YDR460W	YPR025C	YPR056W	
YER133W	YMR311C	YNL233W	
YER107C	YJL041W	YMR047C	
YER125W	YJL084C	YKR021W	
YER122C	YIL076W	YNL287W	
YER107C	YJL061W	YMR047C	
YKR014C	YMR258C	YOR370C	
YJL053W	YJL154C	YOR132W	
YJL098W	YLR310C	YOR267C	
YJL099W	YKR027W	YLR330W	
YJL099W	YLR330W	YMR237W	
YJR068W	YNL290W	YOR144C	
YKL088W	YKR072C	YML016C	
YKL088W	YKR072C	YOR054C	
YKL088W	YML016C	YOR054C	
YKL196C	YMR197C	YOR036W	
YKL204W	YOL139C	YOR276W	
YIR025W	YLR102C	YOR249C	
YKR048C	YMR139W	YNL078W	
