Q0045	Q0105	YOL027C	
Q0080	Q0085	YPL078C	
Q0140	YER154W	YGL122C	
Q0250	YBR024W	YBR037C	
YAL005C	YAL036C	YOR091W	
YAL008W	YGL122C	YML086C	
YAL009W	YGL059W	YMR165C	
YAL009W	YHR004C	YMR165C	
YAL010C	YHR083W	YNL026W	
YAL010C	YMR203W	YNL026W	
YAL012W	YGL122C	YHR152W	
YAL030W	YBL050W	YNL255C	
YAL031C	YBR160W	YCL027W	
YAL044W-A	YGL122C	YNL249C	
YAL047C	YDR356W	YOR373W	
YAL048C	YJR009C	YLL039C	
YAL053W	YDL222C	YOR153W	
YAL056W	YBR140C	YOL081W	
YAR002W	YDL229W	YNL255C	
YAR027W	YBR042C	YGL122C	
YAR031W	YBR069C	YHR110W	
YAR042W	YDL019C	YER120W	
YBL008W	YBR215W	YOR038C	
YBL021C	YGL237C	YOR358W	
YBL032W	YBR019C	YDL079C	
YBL032W	YBR086C	YJL106W	
YBL032W	YDR233C	YLR018C	
YBL032W	YHR198C	YMR096W	
YBL032W	YJR090C	YOR344C	
YBL032W	YJR091C	YKL002W	
YBL043W	YGL075C	YMR117C	
YBL045C	YEL024W	YGR112W	
YBL054W	YDR130C	YIR010W	
YBL099W	YDR322C-A	YPL078C	
YBL102W	YBR241C	YFL048C	
YBL104C	YDR128W	YOL138C	
YBR002C	YBR041W	YDL052C	
YBR011C	YBR217W	YHR200W	
YBR021W	YEL063C	YML052W	
YBR029C	YCR061W	YNL197C	
YBR056W	YFR007W	YGL122C	
YBR057C	YCL055W	YGL036W	
YBR083W	YER109C	YHR084W	
YBR095C	YMR159C	YPL149W	
YBR105C	YCL039W	YMR135C	
YBR106W	YDL054C	YDL212W	
YBR123C	YDR362C	YPL007C	
YBR128C	YLR360W	YPL120W	
YBR131W	YDL077C	YGL124C	
YBR136W	YDR217C	YJL090C	
YBR137W	YOL111C	YOR164C	
YBR157C	YBR233W-A	YKR083C	
YBR159W	YDR046C	YIL005W	
YBR159W	YJL219W	YJR161C	
YBR159W	YMR149W	YMR279C	
YBR160W	YNL161W	YOL036W	
YBR170C	YBR201W	YOL013C	
YBR179C	YDR470C	YOR211C	
YBR188C	YKR034W	YLR424W	
YBR195C	YML102W	YPR018W	
YBR207W	YIL047C	YOL132W	
YBR228W	YHR154W	YLR135W	
YBR258C	YDR469W	YPL138C	
YBR267W	YGR148C	YNL255C	
YBR270C	YDR259C	YLR423C	
YBR273C	YDL126C	YDR411C	
YBR275C	YDL230W	YFR028C	
YBR288C	YGR261C	YPL195W	
YCL016C	YHR191C	YMR078C	
YCL017C	YDL120W	YER048W-A	
