YAL040C	YCL030C	YDL029W	YDL047W	YDR018C	YER155C	YER167W	YFR040W	YJL098W	YKL092C	YKR028W	YKR042W	YKR072C	YLL024C	YOR188W	
YAL040C	YBR234C	YCL030C	YDL047W	YER155C	YER167W	YFR040W	YHL027W	YJL098W	YKL092C	YKR028W	YKR072C	YLL024C	YPL234C	
YGR082W	YGR193C	YLR157C	YLR199C	YMR060C	YMR203W	YMR263W	YNL018C	YNL070W	YNL121C	YNL131W	YNL330C	YPR133W-A	
YBL084C	YDR118W	YER179W	YFR036W	YGL240W	YHR166C	YKL022C	YLL051C	YLR102C	YLR127C	YLR451W	YMR092C	YNL172W	
YBL084C	YDL008W	YDR118W	YDR260C	YER179W	YFR036W	YGL240W	YHR166C	YIR025W	YLR102C	YLR127C	YLR451W	YOR249C	
YBR130C	YCR002C	YDL225W	YDR507C	YHR107C	YJR076C	YLL021W	YLR314C	YNL233W	YNL293W	YOL112W	YOR084W	YPL066W	
YBR254C	YCL058C	YDL058W	YDR108W	YDR407C	YDR472W	YGL219C	YGR166W	YGR234W	YJR116W	YML077W	YOR115C	
YDL008W	YDR260C	YFR036W	YGL240W	YIR025W	YKL022C	YLL051C	YLR102C	YLR127C	YMR092C	YNL172W	YOR249C	
YAL040C	YBR234C	YDL047W	YER167W	YFR040W	YHL027W	YJL098W	YKL092C	YKR028W	YKR072C	YLL024C	YMR028W	
YAL040C	YCL030C	YDL047W	YER155C	YFR040W	YGL229C	YJL098W	YKL092C	YKR028W	YKR072C	YLL024C	YOL145C	
YCR002C	YDL225W	YDR507C	YER040W	YER118C	YHR107C	YJR076C	YLR096W	YLR314C	YNL139C	YOR084W	YOR156C	
YBL025W	YBR093C	YCL058C	YDR246W	YFL005W	YGL219C	YGR166W	YKR068C	YML077W	YNL287W	YOR115C	
YBL084C	YFR036W	YGL240W	YHR118C	YHR166C	YKL022C	YLL051C	YLR127C	YLR451W	YNL172W	YOR249C	
YBL025W	YBR254C	YDR108W	YDR407C	YGL219C	YGR166W	YGR234W	YJR116W	YMR218C	YOR115C	YOR312C	
YBL084C	YDR118W	YER161C	YFR036W	YHR166C	YLL051C	YLR102C	YLR127C	YLR451W	YNL172W	YOR249C	
YDR118W	YER179W	YFR036W	YGL240W	YHR166C	YLL051C	YLR102C	YLR127C	YLR451W	YMR092C	YOR249C	
YAL005C	YAL040C	YCL030C	YDL047W	YER155C	YER167W	YFR040W	YJL098W	YKR028W	YLL024C	YOR188W	
YBL084C	YDL008W	YDR118W	YFR036W	YGL240W	YKL022C	YLL051C	YLR102C	YLR127C	YMR092C	YNL172W	
YCR002C	YDL225W	YDR507C	YHR107C	YJR076C	YLL021W	YLR314C	YNL233W	YOR084W	YOR156C	YPL066W	
YBL084C	YDL008W	YDR118W	YFR036W	YGL240W	YHR118C	YHR166C	YKL022C	YLL051C	YLR102C	YLR451W	
YBL025W	YBR254C	YCL058C	YDR472W	YEL036C	YGR166W	YKL139W	YML077W	YMR218C	YOR115C	YOR197W	
YBL084C	YDR118W	YDR260C	YFR036W	YGL240W	YHR166C	YLL051C	YLR102C	YMR092C	YOR249C	
YBL084C	YDR260C	YFR036W	YGL240W	YIR025W	YKL022C	YLL051C	YLR127C	YNL172W	YOR249C	
YCR087C-A	YCR087W	YHL003C	YHR184W	YJR131W	YKL008C	YLR070C	YML064C	YMR298W	YNL107W	
YDL008W	YFR036W	YGL240W	YHR166C	YIR025W	YLL051C	YLR102C	YLR451W	YMR092C	YNL172W	
YAL021C	YAR007C	YBR173C	YDL042C	YDR227W	YJL076W	YJL173C	YLR442C	YML032C	YNL312W	
YDL008W	YDR118W	YFR036W	YGL240W	YIR025W	YLR102C	YLR127C	YMR092C	YNL172W	YOR249C	
YDL008W	YFR036W	YGL240W	YHR118C	YKL022C	YLL051C	YLR102C	YMR092C	YNL172W	YOR249C	
YBL025W	YCL058C	YDR108W	YDR407C	YDR472W	YGL219C	YGR166W	YGR234W	YML077W	YOR115C	
YBR172C	YCR067C	YIL004C	YIL109C	YKL074C	YLR026C	YLR268W	YOR075W	YPL085W	YPR181C	
YAL040C	YFL009W	YGR092W	YKL092C	YLL024C	YLR079W	YLR127C	YMR199W	YPL256C	YPR120C	
YBR270C	YGR058W	YHR077C	YIL105C	YJL162C	YLR433C	YML057W	YMR068W	YNL047C	YPL059W	
YFR036W	YGL240W	YHR118C	YHR166C	YKL022C	YLL051C	YLR102C	YLR127C	YLR451W	YMR092C	
YDR293C	YDR497C	YER067W	YGL158W	YHR186C	YJR066W	YKL194C	YLR113W	YNL006W	YPL180W	
YBL084C	YDL008W	YDR118W	YER179W	YFR036W	YGL240W	YHR166C	YLR102C	YLR127C	YLR451W	
YDL235C	YDR497C	YGL158W	YIL147C	YJL128C	YLR006C	YLR113W	YNR031C	YOR208W	YPL180W	
YBL025W	YCL058C	YDR108W	YDR189W	YDR246W	YGL219C	YGR166W	YGR234W	YKR068C	YOR115C	
YAL040C	YCL030C	YDL047W	YER155C	YER167W	YFR040W	YJL098W	YKR028W	YKR072C	YOL145C	
YAL040C	YCL030C	YDL047W	YER155C	YFR040W	YJL098W	YKL092C	YKR072C	YLL024C	YMR028W	
YAL043C	YBR205W	YDR390C	YJR093C	YKR002W	YLR115W	YMR061W	YMR182C	YNL317W	YPR107C	
YAL023C	YDL095W	YER014C-A	YGR036C	YJR143C	YKL190W	YKL212W	YOR321W	YOR332W	
YBL084C	YDR118W	YFR036W	YGL240W	YHR166C	YLL051C	YLR102C	YLR451W	YNL172W	
YBR172C	YDL188C	YDR075W	YDR498C	YIL109C	YLR268W	YOR075W	YOR380W	YPR040W	
YCR002C	YDL225W	YDR085C	YDR507C	YHR107C	YLL021W	YLR314C	YNL233W	YPL066W	
YAL001C	YBR172C	YDR498C	YER148W	YGL241W	YGR246C	YKL074C	YLR268W	YOR075W	
YDL029W	YDR018C	YDR063W	YIL062C	YJR065C	YKL013C	YKR042W	YLR370C	YNR035C	
YBL016W	YDL159W	YDR480W	YEL048C	YGL178W	YGR040W	YHR084W	YIL136W	YPL049C	
YDL088C	YFR002W	YJL039C	YJL057C	YML031W	YML103C	YMR129W	YMR153W	YNL234W	
YBL025W	YCL058C	YDR108W	YDR246W	YDR407C	YGL219C	YGR166W	YGR234W	YIR040C	
YBR050C	YCL046W	YDR028C	YDR477W	YER027C	YER040W	YGL115W	YGL208W	YML110C	
YBL025W	YDR108W	YDR246W	YDR407C	YGL219C	YGR166W	YGR234W	YMR218C	YOR115C	
YBR172C	YGL200C	YHR098C	YLR057W	YLR268W	YML012W	YNL049C	YPL218W	YPR181C	
YDL088C	YFR002W	YGL172W	YGR120C	YJL039C	YJL057C	YMR153W	YNL234W	YOR353C	
YAL023C	YDL095W	YER014C-A	YJR143C	YKL080W	YKL190W	YMR211W	YOR002W	YOR321W	
YBR193C	YDL005C	YDL154W	YGL025C	YIL021W	YNR010W	YOL005C	YOL135C	YOR174W	
YBR047W	YDL235C	YER118C	YGL158W	YJL128C	YLR096W	YLR113W	YNL139C	YNR031C	
YAL014C	YAL030W	YBL050W	YBR080C	YDR468C	YGR009C	YJR063W	YLR093C	YPL232W	
YBR103W	YDR390C	YGL023C	YJR093C	YKR002W	YLR115W	YMR061W	YOL123W	YPR107C	
YGL019W	YGR068C	YIL035C	YIL118W	YLR114C	YNL088W	YOR010C	YOR039W	YOR061W	
YAL043C	YDR301W	YDR392W	YJR093C	YKR002W	YMR182C	YNL317W	YOR194C	YPR107C	
YDL088C	YER026C	YJL057C	YML031W	YMR129W	YMR153W	YMR298W	YNL234W	YOR028C	
YBL068W	YDR285W	YER099C	YGR135W	YHL011C	YKL181W	YNL036W	YOL061W	YOL069W	
YDL008W	YDR260C	YFR036W	YGL240W	YHR166C	YIR025W	YLL051C	YLR451W	YOR249C	
YDR006C	YER014C-A	YGR036C	YKL093W	YKL190W	YKL212W	YMR081C	YOR239W	YOR332W	
YDR100W	YDR425W	YDR468C	YGL161C	YGL198W	YGR172C	YGR177C	YMR215W	YPL095C	
YDL088C	YGR010W	YJL057C	YLR438W	YML031W	YMR129W	YMR153W	YNL234W	
YDL230W	YDL235C	YDR497C	YGL158W	YIL147C	YLR113W	YNR031C	YOR208W	
YBR050C	YBR055C	YDR028C	YDR477W	YER027C	YER040W	YGL208W	YMR140W	
YBR211C	YDL002C	YDR098C	YER092W	YGL090W	YGL220W	YLR052W	YLR424W	
YBR103W	YDR227W	YDR390C	YGL023C	YKR002W	YLR082C	YMR061W	YNL317W	
YBL084C	YDL008W	YFR036W	YHR118C	YHR166C	YIR025W	YKL022C	YLR102C	
YBR162C	YGR249W	YIL033C	YJL164C	YLR177W	YOL063C	YOR140W	YPL203W	
YBL039C	YDR133C	YDR321W	YDR502C	YHR144C	YJR103W	YPL060C-A	YPL070W	
YAL029C	YDL143W	YDL178W	YFL039C	YGR080W	YIL138C	YKL212W	YLL050C	
YBL106C	YGL206C	YGR167W	YHR161C	YLR170C	YMR183C	YPL077C	YPL232W	
YDR293C	YER067W	YHR186C	YJR066W	YLR208W	YNL006W	YOL078W	YPL180W	
YAL040C	YDL047W	YER155C	YER167W	YFR040W	YJL098W	YKL092C	YKR028W	
YBR103W	YDL042C	YDR227W	YER151C	YGL023C	YJL076W	YLR442C	YNL216W	
YBR203W	YDR189W	YHL031C	YKL006C-A	YKL179C	YKL196C	YLR026C	YMR197C	
YAL040C	YCL030C	YDL047W	YER167W	YJL098W	YKR028W	YKR072C	YLL024C	
YEL005C	YEL013W	YGR119C	YHR195W	YKL061W	YNL086W	YNL122C	YPR185W	
YDR320C	YGL206C	YGR167W	YGR241C	YHR161C	YLR170C	YNL183C	YOR028C	
YDR084C	YDR100W	YDR425W	YGL161C	YGL198W	YHR105W	YMR215W	YPL095C	
YAL023C	YDL095W	YDL096C	YFL036W	YGR227W	YOR002W	YOR085W	YOR321W	
YDR166C	YDR363W-A	YER008C	YGL212W	YLR166C	YMR002W	YOR292C	YPL029W	
YBL079W	YER105C	YJL061W	YJR132W	YLR335W	YML107C	YMR235C	YOR098C	
YBR103W	YDR227W	YER151C	YGL023C	YLR442C	YMR106C	YMR284W	YNL216W	
YDL088C	YER026C	YJL057C	YML031W	YML103C	YMR129W	YMR153W	YOL129W	
YDL235C	YDR293C	YER067W	YGL158W	YHR186C	YJR066W	YLR113W	YPL180W	
YBL084C	YDR118W	YFR036W	YGL240W	YHR118C	YKL022C	YLL051C	YLR102C	
YAL049C	YBR108W	YGR058W	YGR136W	YLR429W	YNL094W	YOR097C	YPL111W	
YER014C-A	YHR039C-A	YHR060W	YKL119C	YKL190W	YMR211W	YOR270C	YPL019C	
YBR103W	YDL042C	YDL220C	YDR227W	YER151C	YGL023C	YLR442C	YMR284W	
YBL079W	YDR395W	YGL016W	YGL058W	YJR132W	YLR335W	YOR098C	YOR194C	
YBL079W	YER105C	YGL016W	YJR132W	YLR335W	YML103C	YML107C	YOR098C	
YFL036W	YGL226C-A	YGR064W	YGR227W	YOL009C	YOR002W	YOR085W	YPL227C	
YAR007C	YDL042C	YDR227W	YJL173C	YLR442C	YML032C	YMR284W	YNL312W	
YBL084C	YDR118W	YFR036W	YGL240W	YLR102C	YLR127C	YNL172W	YOR249C	
YDR128W	YDR224C	YMR309C	YNL047C	YNL244C	YOR284W	YOR361C	YPR041W	
YEL005C	YEL013W	YGR092W	YJL061W	YKL061W	YNL086W	YNL122C	YPR185W	
YCL030C	YDL047W	YDL134C	YDL188C	YMR028W	YOR380W	YPR040W	YPR111W	
YBL016W	YBR083W	YDR480W	YGL057C	YGR040W	YHR084W	YIL169C	YPL049C	
YBL021C	YGL230C	YGL237C	YGR236C	YHL006C	YKL109W	YNL021W	YOR358W	
YBL098W	YDL137W	YDL192W	YDL226C	YDR182W	YEL064C	YGL137W	YGR130C	
YBR009C	YBR010W	YDR332W	YGR116W	YIL126W	YMR074C	YNL030W	YNL031C	
YGL226C-A	YGR227W	YIL097W	YJL026W	YOR002W	YOR067C	YOR085W	YPL227C	
YDL088C	YJL057C	YML031W	YML103C	YMR129W	YMR153W	YMR298W	YNL234W	
YGR082W	YLR157C	YMR203W	YNL018C	YNL070W	YNL121C	YNL131W	YPR133W-A	
YBR172C	YDL195W	YDR498C	YGL200C	YLR268W	YML012W	YPL218W	YPR181C	
YEL002C	YGL226C-A	YGR227W	YOR002W	YOR067C	YOR085W	YOR103C	YPL227C	
YBR079C	YDR429C	YMR146C	YMR309C	YNL243W	YNL244C	YOR361C	YPR041W	
YBR216C	YDL207W	YDR192C	YER107C	YJR069C	YKL068W	YMR255W	YOR046C	
YDR468C	YDR515W	YGL161C	YGL198W	YGR172C	YGR177C	YMR215W	YPL095C	
YDL020C	YDL156W	YDR273W	YFR052W	YHR200W	YIL075C	YJR133W	YLR421C	
YAL030W	YBL050W	YGR009C	YGR247W	YLR093C	YLR351C	YOR327C	YPL232W	
YBR203W	YDR468C	YHL031C	YKL006C-A	YKL179C	YKL196C	YMR018W	YMR197C	
YAL043C	YBR205W	YDR301W	YJR093C	YKR002W	YMR182C	YNL317W	YPR107C	
Q0250	YBR024W	YBR037C	YDR025W	YLL009C	YNL135C	YNR022C	YPR119W	
YBR087W	YDL102W	YER173W	YJR068W	YMR075C-A	YNL262W	YOL093W	YOR217W	
YDL088C	YER026C	YFR002W	YJL057C	YMR129W	YMR153W	YNL234W	YOR028C	
YBR034C	YDL001W	YDR207C	YJR094C	YMR139W	YNL078W	YOL070C	YPL158C	
YER067W	YER093C	YHR186C	YJL058C	YJR066W	YMR068W	YNL006W	YPL180W	
YBL093C	YGR192C	YIL156W	YKL129C	YKL152C	YKR069W	YMR109W	YOR247W	
YBR205W	YDL062W	YKR002W	YLR115W	YLR277C	YLR437C	YNL317W	YPR107C	
YDL059C	YFL059W	YFL060C	YMR095C	YMR096W	YMR322C	YNL333W	YNL334C	
YAL021C	YBR009C	YBR010W	YEL015W	YGR116W	YIL126W	YNL030W	YNL031C	
YDL005C	YDL154W	YDR308C	YGL025C	YIL021W	YOL135C	YOR151C	YOR174W	
YDR118W	YER179W	YFR036W	YGL240W	YLL051C	YLR102C	YLR127C	YMR092C	
YAL004W	YDR309C	YGR207C	YHR061C	YHR149C	YLR448W	YML109W	YMR273C	
YBR103W	YGL023C	YJR093C	YLR082C	YLR277C	YMR061W	YNL317W	YOL123W	
YBR133C	YDL036C	YER087W	YGR136W	YJL187C	YKL101W	YLR429W	YNL094W	
YBR170C	YBR171W	YDL020C	YDL126C	YIL075C	YJL034W	YKL073W	YOR254C	
YAL016W	YBR230C	YCR066W	YDL134C	YGL058W	YNL042W	YNL127W	YOR014W	
YEL005C	YEL013W	YGL079W	YGR107W	YHR195W	YJL061W	YNL086W	YPR185W	
YDL088C	YDR307W	YJL057C	YML031W	YMR129W	YMR153W	YNL234W	YOL129W	
YAR008W	YBL051C	YDR082W	YDR217C	YIL151C	YIR008C	YKL045W	YPL153C	
YDR164C	YDR166C	YDR363W-A	YER008C	YGL233W	YLR166C	YOR122C	YPL029W	
YDL006W	YDL230W	YDL235C	YIL053W	YIL147C	YLR006C	YOR208W	YPL201C	
YGL226C-A	YIL097W	YMR149W	YOR002W	YOR067C	YOR085W	YOR103C	YPL227C	
YBL079W	YEL005C	YER105C	YJL061W	YJR132W	YLR335W	YML103C	YOR098C	
YBR172C	YGL200C	YIL109C	YLR268W	YML012W	YNL049C	YOR075W	YPR181C	
YFL026W	YHR005C	YIL047C	YJL080C	YKL197C	YLR286C	YNL329C	YOR212W	
YBR079C	YDR224C	YDR429C	YMR146C	YMR309C	YOR284W	YOR361C	YPR041W	
YDR293C	YER067W	YER093C	YJR066W	YKL203C	YNL006W	YOL078W	YPL180W	
YAR069C	YBL025W	YCL058C	YDR246W	YDR407C	YGL219C	YGR166W	YPL215W	
YBR172C	YDR498C	YGL145W	YLR268W	YMR020W	YNL258C	YOR075W	YPR181C	
YGL019W	YGR068C	YIL035C	YMR246W	YNL088W	YOR010C	YOR039W	YOR061W	
